assay,group,tasks,unique_start_states,seeds,valley_required_tasks,mean_greedy_terminal_fitness,mean_lookahead_terminal_fitness,mean_greedy_regret,mean_lookahead_regret,mean_regret_delta_lookahead_minus_greedy,regret_delta_cluster_bootstrap_ci95_low,regret_delta_cluster_bootstrap_ci95_high,paired_lookahead_better_fraction,paired_tie_fraction,normalized_tasks,mean_normalized_planning_gain,normalized_gain_cluster_bootstrap_ci95_low,normalized_gain_cluster_bootstrap_ci95_high,mean_iqr_standardized_planning_gain,iqr_standardized_gain_cluster_bootstrap_ci95_low,iqr_standardized_gain_cluster_bootstrap_ci95_high
A4_HUMAN_Seuma_2022,ALL_TASKS,150,150,3,22,2.1754429497172043,2.5755971999727953,0.40015425025559115,0.0,-0.40015425025559115,-0.5095713478387937,-0.2963769818936115,0.3933333333333333,0.6066666666666667,150,0.1656209270514223,0.11610580036855674,0.22182720570887324,0.13489190923824598,0.09970291776684839,0.17289053791445408
A4_HUMAN_Seuma_2022,VALLEY_REQUIRED,22,22,3,22,0.953489414750749,2.557823796127816,1.604334381377067,0.0,-1.604334381377067,-1.8532785628607094,-1.3439361466370587,1.0,0.0,22,0.8887124312572577,0.7565128030097543,1.0,0.5408207650481879,0.45305884789123313,0.6257007582841448
A4_HUMAN_Seuma_2022,NO_VALLEY_REQUIRED,128,128,3,0,2.3854662135395635,2.578652003758651,0.19318579021908747,0.0,-0.19318579021908747,-0.26733284261982526,-0.12737512224544517,0.2890625,0.7109375,128,0.04133957476604435,0.027732479959138828,0.05638869197046862,0.0651228871459122,0.04267978035764661,0.09060255378603867
D7PM05_CLYGR_Somermeyer_2022,ALL_TASKS,150,150,3,36,32502.036986645526,34908.15244636701,2406.1154597214836,0.0,-2406.1154597214836,-3479.806774417804,-1479.5575609626765,0.49333333333333335,0.5066666666666667,150,0.1775575907546684,0.13032376264218717,0.23003984429429655,0.09563547652069639,0.060795464525981426,0.13808328282838161
D7PM05_CLYGR_Somermeyer_2022,VALLEY_REQUIRED,36,36,3,36,28478.17398753473,34589.49690081066,6111.322913275928,0.0,-6111.322913275928,-9361.840459481164,-3465.6382823578333,1.0,0.0,36,0.5449226838622762,0.4158883624608789,0.6725281797988732,0.24290574944007345,0.1375503640040444,0.3695314619101366
D7PM05_CLYGR_Somermeyer_2022,NO_VALLEY_REQUIRED,114,114,3,0,33772.73056531209,35008.7805133848,1236.0499480727117,0.0,-1236.0499480727117,-2123.6617120704514,-558.9908773327447,0.3333333333333333,0.6666666666666666,114,0.06154756135226593,0.03538816990781192,0.09315824836785909,0.04912907454615626,0.02210580873463898,0.08531382610664696
F7YBW8_MESOW_Aakre_2015,ALL_TASKS,150,150,3,14,1.0231347733333334,1.0877631066666666,0.06462833333333334,0.0,-0.06462833333333334,-0.10311038016666667,-0.03249259200000001,0.32666666666666666,0.6733333333333333,150,0.07398793627208446,0.03909500118213569,0.11332792222926226,5.1553162495429925,2.615036766709875,8.221326167447733
F7YBW8_MESOW_Aakre_2015,VALLEY_REQUIRED,14,14,3,14,0.5561681428571429,1.1150092142857142,0.5588410714285714,0.0,-0.5588410714285714,-0.8296827339285714,-0.289508342857143,1.0,0.0,14,0.6692871495357774,0.41224434977989916,0.8724769339037135,44.57800948677407,23.138324003247725,65.40931968719282
F7YBW8_MESOW_Aakre_2015,NO_VALLEY_REQUIRED,136,136,3,0,1.071204867647059,1.0849583602941177,0.013753492647058827,0.0,-0.013753492647058827,-0.019081986029411767,-0.009119280514705886,0.25735294117647056,0.7426470588235294,136,0.012707134906704299,0.008346652284359964,0.017545207261679283,1.0970978280633226,0.7167990474682243,1.508630559612418
GCN4_YEAST_Staller_2018,ALL_TASKS,150,90,3,51,1.6867043972393334,1.767767639096,0.08106324185666665,0.0,-0.08106324185666665,-0.12097358925472222,-0.03480296815162036,0.4533333333333333,0.5466666666666666,127,0.3034085446308131,0.1831801894205475,0.35377584945148594,0.2370458565086,0.10220610569307402,0.3519630081501681
GCN4_YEAST_Staller_2018,VALLEY_REQUIRED,51,27,3,51,1.6455335337810457,1.8518847327254901,0.2063511989444444,0.0,-0.2063511989444444,-0.3448001760504629,-0.09499218943148137,1.0,0.0,51,0.666278961225741,0.4914590980960442,0.7739202101374594,0.6034140206463948,0.27893218667149855,1.0130515530916595
GCN4_YEAST_Staller_2018,NO_VALLEY_REQUIRED,99,63,3,0,1.7079136299299664,1.7244345908626262,0.01652096093265992,0.0,-0.01652096093265992,-0.02959995839603171,-0.00575346044444443,0.1717171717171717,0.8282828282828283,76,0.0599033966526378,0.022040429825551457,0.10509647492747996,0.048310741649736026,0.01696328724858267,0.08559428561578111
