start_state,oracle_target,valley_required,random_terminal,random_best_seen,random_steps,random_min_delta,random_downhill_steps,random_regret,greedy_terminal,greedy_best_seen,greedy_steps,greedy_min_delta,greedy_downhill_steps,greedy_regret,beam_terminal,beam_best_seen,beam_steps,beam_min_delta,beam_downhill_steps,beam_regret,lookahead_terminal,lookahead_best_seen,lookahead_steps,lookahead_min_delta,lookahead_downhill_steps,lookahead_regret,oracle_terminal,oracle_best_seen,oracle_steps,oracle_min_delta,oracle_downhill_steps,oracle_regret
421,8382,False,23962.18672152096,28189.952008257216,3,-4227.765286736256,1,13671.68671077146,30753.952212451222,30753.952212451222,3,867.4539404244974,0,6879.921219841199,36617.00833643063,36617.00833643063,3,348.9800887184066,0,1016.8650958617945,37633.87343229242,37633.87343229242,3,0.0,0,0.0,37633.87343229242,37633.87343229242,3,0.0,0,0.0
484,1483,False,19112.41048488995,23285.78782827812,3,-16476.705563832824,2,15236.409228210643,34348.819713100595,34348.819713100595,3,3377.7558385584744,0,0.0,34348.819713100595,34348.819713100595,3,3377.7558385584744,0,0.0,34348.819713100595,34348.819713100595,3,3377.7558385584744,0,0.0,34348.819713100595,34348.819713100595,3,3377.7558385584744,0,0.0
633,8543,True,26205.371059135603,31361.48398987452,3,-5966.246475760319,2,10598.027155562177,32023.07854117381,32023.07854117381,1,661.5945512992912,0,4780.319673523969,36156.015344140535,36156.015344140535,3,-667.471870595873,1,647.382870557245,36803.39821469778,36803.39821469778,3,-4813.271936995119,1,0.0,36803.39821469778,36803.39821469778,3,-4813.271936995119,1,0.0
636,4057,False,37050.15909527851,37050.15909527851,3,146.622543183963,0,0.0,34093.43585559022,34093.43585559022,1,3207.476219605156,0,2956.72323968829,34750.623893734984,34750.623893734984,3,447.2055436491828,0,2299.5352015435274,37050.15909527851,37050.15909527851,3,146.622543183963,0,0.0,37050.15909527851,37050.15909527851,3,146.622543183963,0,0.0
997,1360,False,22632.69075239492,27834.05202520042,3,-8049.930875115355,2,17454.224014410567,40086.91476680549,40086.91476680549,3,3505.6557914127006,0,0.0,40086.91476680549,40086.91476680549,3,3505.6557914127006,0,0.0,40086.91476680549,40086.91476680549,3,3505.6557914127006,0,0.0,40086.91476680549,40086.91476680549,3,3505.6557914127006,0,0.0
1474,1483,False,32296.322753240365,32296.322753240365,3,-2970.1487671836876,1,2052.4969598602293,34348.819713100595,34348.819713100595,2,3377.7558385584744,0,0.0,31364.836166725792,33032.04041273225,3,-1667.204246006455,1,2983.9835463748022,31034.392429680425,34348.819713100595,3,-3314.4272834201693,1,3314.4272834201693,34348.819713100595,34348.819713100595,2,3377.7558385584744,0,0.0
1584,8159,False,31372.056552309696,32500.67478815505,3,-687.1190496728959,2,5927.977666993982,37300.03421930368,37300.03421930368,2,384.6140949509718,0,0.0,33599.77090547801,37300.03421930368,3,-3700.263313825664,1,3700.263313825664,33599.77090547801,37300.03421930368,3,-3700.263313825664,1,3700.263313825664,37300.03421930368,37300.03421930368,2,384.6140949509718,0,0.0
2325,86,False,8800.844214783116,26785.85074377869,3,-18344.022010452452,1,25015.77725142239,33816.621466205506,33816.621466205506,1,8466.662232152263,0,0.0,33237.00342767977,33237.00342767977,3,1435.8915097254467,0,579.6180385257394,27542.904477670298,33816.621466205506,3,-4019.079779265543,2,6273.716988535209,33816.621466205506,33816.621466205506,1,8466.662232152263,0,0.0
2680,666,False,30720.376023462035,30720.376023462035,3,0.0,0,3213.4707356774525,33066.27140422401,33066.27140422401,2,2795.1107883047225,0,867.575354915476,31821.39773091024,32595.85979215322,3,-774.462061242979,1,2112.4490282292463,33933.84675913949,33933.84675913949,3,796.3673201497113,0,0.0,33933.84675913949,33933.84675913949,3,796.3673201497113,0,0.0
2780,6531,False,31947.19362599685,31947.19362599685,3,-2386.2671642273162,1,2544.030845703717,34491.22447170057,34491.22447170057,2,3894.1643773570795,0,0.0,33475.605468380825,34491.22447170057,3,-1015.6190033197418,1,1015.6190033197418,33475.605468380825,34491.22447170057,3,-1015.6190033197418,1,1015.6190033197418,34491.22447170057,34491.22447170057,2,3894.1643773570795,0,0.0
