scope,requested_budget,stratum,metric,delta_definition,favorable_direction,paired_seed_records,unique_task_clusters,mean_delta,median_delta,cluster_mean_delta,bootstrap_ci_low,bootstrap_ci_high,lookahead_wins,ties,lookahead_losses
ALL_ASSAYS,10,ALL_TASKS,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,453,151,0.0013477817245413743,0.0,0.00134778172454137,-0.031812012911689974,0.03277839610190658,66,306,81
ALL_ASSAYS,10,ALL_TASKS,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,453,151,0.007188874515048327,0.0,0.007188874515048327,-0.01380814061788124,0.030942150850974147,102,249,102
ALL_ASSAYS,10,ALL_TASKS,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,222,74,-0.013513513513513514,0.0,-0.013513513513513514,-0.08108108108108109,0.05405405405405406,9,201,12
ALL_ASSAYS,10,VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,222,74,0.010462747444839254,0.0,0.010462747444839254,-0.03530227093289682,0.05220563100192329,45,138,39
ALL_ASSAYS,10,VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,222,74,0.003118722480072413,0.0,0.003118722480072419,-0.025886955319718477,0.0348998025124622,60,108,54
ALL_ASSAYS,10,VALLEY_REQUIRED,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,222,74,-0.013513513513513514,0.0,-0.013513513513513514,-0.08108108108108109,0.05405405405405406,9,201,12
ALL_ASSAYS,10,NO_VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,231,77,-0.007412055461199455,0.0,-0.0074120554611994596,-0.056956847439573244,0.0377837942144992,21,168,42
ALL_ASSAYS,10,NO_VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,231,77,0.01110044919801219,0.0,0.011100449198012192,-0.018632550266936002,0.04692631583660406,42,141,48
ALL_ASSAYS,20,ALL_TASKS,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,453,151,-0.0030084541761509617,0.0,-0.0030084541761509656,-0.03897395165636367,0.032412269116515034,123,216,114
ALL_ASSAYS,20,ALL_TASKS,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,453,151,-0.00880966463073836,0.0,-0.008809664630738354,-0.03270713181864731,0.016724146763244456,153,159,141
ALL_ASSAYS,20,ALL_TASKS,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,222,74,-0.08108108108108109,0.0,-0.08108108108108109,-0.16216216216216217,0.0,6,192,24
ALL_ASSAYS,20,VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,222,74,0.027194515716896853,0.0,0.02719451571689685,-0.025418590756207084,0.07610746793368789,51,111,60
ALL_ASSAYS,20,VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,222,74,-0.023227640374328257,0.0,-0.02322764037432826,-0.05706313007186475,0.010859466224422113,69,78,75
ALL_ASSAYS,20,VALLEY_REQUIRED,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,222,74,-0.08108108108108109,0.0,-0.08108108108108109,-0.16216216216216217,0.0,6,192,24
ALL_ASSAYS,20,NO_VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,231,77,-0.032034684982456665,0.0,-0.032034684982456665,-0.08300600752047525,0.015491493214451367,72,105,54
ALL_ASSAYS,20,NO_VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,231,77,0.005046571798166228,0.0,0.005046571798166226,-0.030096157657843823,0.04297466681207063,84,81,66
ALL_ASSAYS,50,ALL_TASKS,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,453,151,-0.015833123624644316,0.0,-0.01583312362464432,-0.05322038381783092,0.020293295501643258,132,210,111
ALL_ASSAYS,50,ALL_TASKS,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,453,151,-0.0005106467750859713,0.0,-0.0005106467750859684,-0.025896778487975294,0.02553405672303949,201,111,141
ALL_ASSAYS,50,ALL_TASKS,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,222,74,-0.02702702702702703,0.0,-0.02702702702702703,-0.12162162162162163,0.06756756756756757,18,180,24
ALL_ASSAYS,50,VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,222,74,0.0034450309454454675,0.0,0.0034450309454454628,-0.05361389487034298,0.05832655640479377,63,105,54
ALL_ASSAYS,50,VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,222,74,-0.016908555885788445,0.0,-0.016908555885788445,-0.051698334432682125,0.018367580230749764,84,63,75
ALL_ASSAYS,50,VALLEY_REQUIRED,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,222,74,-0.02702702702702703,0.0,-0.02702702702702703,-0.12162162162162163,0.06756756756756757,18,180,24
ALL_ASSAYS,50,NO_VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,231,77,-0.0343601812634319,0.0,-0.0343601812634319,-0.08368996320242839,0.012198071892314259,69,105,57
ALL_ASSAYS,50,NO_VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,231,77,0.015248382759874855,0.0006851069719324698,0.01524838275987486,-0.019010408333814743,0.05253709477334126,117,48,66
ALL_ASSAYS,100,ALL_TASKS,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,453,151,-0.02158925308175676,0.0,-0.02158925308175676,-0.06071824428997905,0.015830149020540044,168,162,123
ALL_ASSAYS,100,ALL_TASKS,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,453,151,0.0068419650088905526,0.0,0.006841965008890553,-0.01944999747631854,0.03345813665499062,213,102,138
ALL_ASSAYS,100,ALL_TASKS,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,222,74,-0.04054054054054054,0.0,-0.04054054054054054,-0.14864864864864866,0.05405405405405406,18,177,27
ALL_ASSAYS,100,VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,222,74,-0.00037816881493529347,0.0,-0.0003781688149353085,-0.060347174264984,0.057662452872464874,66,93,63
ALL_ASSAYS,100,VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,222,74,-0.007209688515873729,0.0,-0.0072096885158737245,-0.04417466035240179,0.03147046519303897,93,60,69
ALL_ASSAYS,100,VALLEY_REQUIRED,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,222,74,-0.04054054054054054,0.0,-0.04054054054054054,-0.13513513513513514,0.06756756756756757,18,177,27
ALL_ASSAYS,100,NO_VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,231,77,-0.0419739314680527,0.0,-0.041973931468052714,-0.09200973267090665,0.003463716151542624,102,69,60
ALL_ASSAYS,100,NO_VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,231,77,0.020346151513209464,0.002478357428371769,0.02034615151320947,-0.014192084308798031,0.058096296996938745,120,42,69
A4_HUMAN_Seuma_2022,10,ALL_TASKS,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,120,40,-0.022041291342923437,0.0,-0.02204129134292344,-0.056654194216889484,0.002647024501516959,15,102,3
A4_HUMAN_Seuma_2022,10,ALL_TASKS,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,120,40,0.008339763755526685,0.0,0.008339763755526685,0.0016820914843783368,0.018328727788510166,30,87,3
A4_HUMAN_Seuma_2022,10,ALL_TASKS,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,0.0,0.0,0.0,0.0,0.0,0,60,0
A4_HUMAN_Seuma_2022,10,VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,60,20,-0.03718943883291555,0.0,-0.03718943883291555,-0.10203535060139304,0.011272907073717814,12,45,3
A4_HUMAN_Seuma_2022,10,VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,0.013622749931576545,0.0,0.013622749931576545,0.0005722500262730301,0.03319082572745761,15,42,3
A4_HUMAN_Seuma_2022,10,VALLEY_REQUIRED,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,0.0,0.0,0.0,0.0,0.0,0,60,0
A4_HUMAN_Seuma_2022,10,NO_VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,60,20,-0.006893143852931338,0.0,-0.006893143852931338,-0.020679431558794016,0.0,3,57,0
A4_HUMAN_Seuma_2022,10,NO_VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,0.003056777579476823,0.0,0.003056777579476823,0.0009082013858406332,0.0056629050811717934,15,45,0
A4_HUMAN_Seuma_2022,20,ALL_TASKS,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,120,40,-0.06113207281154519,-0.006906872116512225,-0.06113207281154519,-0.09556873905415347,-0.029952597759407472,69,42,9
A4_HUMAN_Seuma_2022,20,ALL_TASKS,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,120,40,0.01671009144944869,0.004691237375347081,0.01671009144944869,0.008615995085190328,0.026586702435524818,75,36,9
A4_HUMAN_Seuma_2022,20,ALL_TASKS,strict_valley_success_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,0.0,0.0,0.0,0.0,0.0,0,60,0
A4_HUMAN_Seuma_2022,20,VALLEY_REQUIRED,normalized_regret_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,negative,60,20,-0.0650858916561797,0.0,-0.0650858916561797,-0.12427689585522571,-0.012462554662149444,27,30,3
A4_HUMAN_Seuma_2022,20,VALLEY_REQUIRED,normalized_best_gain_auc_delta,ADAPTIVE_LOOKAHEAD - ADAPTIVE_GREEDY,positive,60,20,0.017109684247437532,0.00012470895856630152,0.017109684247437536,0.0036009331593494795,0.0352450636950933,30,27,3
