assay,requested_budget,method,records,mean_prequery_RMSE,rmse_regret_pearson_exploratory,mean_actual_budget
A4_HUMAN_Seuma_2022,10,ADAPTIVE_GREEDY,120,1.1813950614799278,-0.5011774018972989,9.2
A4_HUMAN_Seuma_2022,10,ADAPTIVE_LOOKAHEAD,120,1.279455698313407,-0.40405837224652574,9.85
A4_HUMAN_Seuma_2022,20,ADAPTIVE_GREEDY,120,1.092680170778327,-0.4586828201790531,13.725
A4_HUMAN_Seuma_2022,20,ADAPTIVE_LOOKAHEAD,120,1.2606361574920593,-0.5609813113550549,16.9
A4_HUMAN_Seuma_2022,50,ADAPTIVE_GREEDY,120,1.0901087620560344,-0.4951885331623834,14.25
A4_HUMAN_Seuma_2022,50,ADAPTIVE_LOOKAHEAD,120,1.2418819460748527,-0.5617863795216111,18.4
A4_HUMAN_Seuma_2022,100,ADAPTIVE_GREEDY,120,1.0901087620560344,-0.4951885331623834,14.25
A4_HUMAN_Seuma_2022,100,ADAPTIVE_LOOKAHEAD,120,1.2418819460748527,-0.5617863795216111,18.4
D7PM05_CLYGR_Somermeyer_2022,10,ADAPTIVE_GREEDY,120,10768.377819759538,-0.6449465735451446,7.275
D7PM05_CLYGR_Somermeyer_2022,10,ADAPTIVE_LOOKAHEAD,120,11186.867366088396,-0.6306975970323638,3.25
D7PM05_CLYGR_Somermeyer_2022,20,ADAPTIVE_GREEDY,120,9889.28994266342,-0.6062998739894722,11.225
D7PM05_CLYGR_Somermeyer_2022,20,ADAPTIVE_LOOKAHEAD,120,11186.867366088396,-0.6306975970323638,3.25
D7PM05_CLYGR_Somermeyer_2022,50,ADAPTIVE_GREEDY,120,9769.301696752616,-0.5834010219285711,12.475
D7PM05_CLYGR_Somermeyer_2022,50,ADAPTIVE_LOOKAHEAD,120,11186.867366088396,-0.6306975970323638,3.25
D7PM05_CLYGR_Somermeyer_2022,100,ADAPTIVE_GREEDY,120,9769.301696752616,-0.5834010219285711,12.475
D7PM05_CLYGR_Somermeyer_2022,100,ADAPTIVE_LOOKAHEAD,120,11186.867366088396,-0.6306975970323638,3.25
F7YBW8_MESOW_Aakre_2015,10,ADAPTIVE_GREEDY,102,0.17560314637454397,-0.6171768993353294,10.0
F7YBW8_MESOW_Aakre_2015,10,ADAPTIVE_LOOKAHEAD,102,0.17168232076120282,-0.5964515902063849,10.0
F7YBW8_MESOW_Aakre_2015,20,ADAPTIVE_GREEDY,102,0.18024958421289564,-0.6066111213800821,20.0
F7YBW8_MESOW_Aakre_2015,20,ADAPTIVE_LOOKAHEAD,102,0.1842592364662219,-0.6083127184576165,20.0
F7YBW8_MESOW_Aakre_2015,50,ADAPTIVE_GREEDY,102,0.2796923753869938,-0.17401400056733968,50.0
F7YBW8_MESOW_Aakre_2015,50,ADAPTIVE_LOOKAHEAD,102,0.29354260196502185,0.013370985626942309,50.0
F7YBW8_MESOW_Aakre_2015,100,ADAPTIVE_GREEDY,102,0.3035317179636524,-0.3238136056577094,100.0
F7YBW8_MESOW_Aakre_2015,100,ADAPTIVE_LOOKAHEAD,102,0.33200093461098673,0.14098745246103875,100.0
GCN4_YEAST_Staller_2018,10,ADAPTIVE_GREEDY,120,0.38034650009987364,-0.13733819256685986,6.15
GCN4_YEAST_Staller_2018,10,ADAPTIVE_LOOKAHEAD,120,0.39995867524889783,-0.24335309063131602,6.225
GCN4_YEAST_Staller_2018,20,ADAPTIVE_GREEDY,120,0.3841047270690819,-0.06333869155331258,9.275
GCN4_YEAST_Staller_2018,20,ADAPTIVE_LOOKAHEAD,120,0.39927088896532076,-0.19272009321673247,9.625
GCN4_YEAST_Staller_2018,50,ADAPTIVE_GREEDY,120,0.38260574445695084,-0.06015603596496183,9.95
GCN4_YEAST_Staller_2018,50,ADAPTIVE_LOOKAHEAD,120,0.39764578021858643,-0.1884483075389278,10.225
GCN4_YEAST_Staller_2018,100,ADAPTIVE_GREEDY,120,0.38260574445695084,-0.06015603596496183,9.95
GCN4_YEAST_Staller_2018,100,ADAPTIVE_LOOKAHEAD,120,0.39764578021858643,-0.1884483075389278,10.225
