start_state,oracle_target,valley_required,random_terminal,random_best_seen,random_steps,random_min_delta,random_downhill_steps,random_regret,greedy_terminal,greedy_best_seen,greedy_steps,greedy_min_delta,greedy_downhill_steps,greedy_regret,beam_terminal,beam_best_seen,beam_steps,beam_min_delta,beam_downhill_steps,beam_regret,lookahead_terminal,lookahead_best_seen,lookahead_steps,lookahead_min_delta,lookahead_downhill_steps,lookahead_regret,oracle_terminal,oracle_best_seen,oracle_steps,oracle_min_delta,oracle_downhill_steps,oracle_regret
34,200,True,-0.001467,0.300827,3,-0.26177100000000003,3,1.205165,0.300827,0.300827,0,0.0,0,0.902871,1.119826,1.119826,3,-0.03436900000000004,1,0.08387199999999995,1.203698,1.203698,3,-0.29035700000000003,1,0.0,1.203698,1.203698,3,-0.29035700000000003,1,0.0
150,200,False,0.001008,0.927506,3,-0.91795,2,1.20269,1.203698,1.203698,2,0.12205799999999989,0,0.0,1.122629,1.122629,3,-0.04481199999999985,1,0.08106899999999984,0.894043,1.203698,3,-0.3096549999999999,1,0.3096549999999999,1.203698,1.203698,2,0.12205799999999989,0,0.0
352,12,False,0.042906,0.042906,3,-0.008183,1,1.079723,1.122629,1.122629,1,1.124487,0,0.0,1.049564,1.122629,3,-0.11787700000000001,1,0.07306500000000016,1.043491,1.122629,3,-0.06877599999999995,2,0.07913800000000015,1.122629,1.122629,1,1.124487,0,0.0
365,12,True,-0.01203,0.0130889999999999,3,-0.013773,3,1.134659,1.072517,1.072517,2,0.17953999999999992,0,0.050112000000000156,1.046407,1.046407,3,-0.21886700000000003,1,0.07622200000000001,1.122629,1.122629,3,-0.256631,1,0.0,1.122629,1.122629,3,-0.256631,1,0.0
416,12,True,-0.006569,0.009916,3,-0.017092,2,1.1291980000000001,1.080144,1.080144,1,1.070228,0,0.042485000000000106,1.080144,1.080144,3,0.0063830000000000015,0,0.042485000000000106,1.122629,1.122629,3,-0.25643400000000005,1,0.0,1.122629,1.122629,3,-0.25643400000000005,1,0.0
464,12,True,-0.014187,0.010049,3,-0.012731,3,1.136816,1.06409,1.06409,2,0.23843500000000006,0,0.05853900000000012,1.049564,1.049564,3,0.08583999999999992,0,0.07306500000000016,1.122629,1.122629,3,-0.25643400000000005,1,0.0,1.122629,1.122629,3,-0.25643400000000005,1,0.0
475,12,True,-0.00376,0.153117,3,-0.13245500000000002,2,1.126389,1.018563,1.018563,1,0.8654460000000002,0,0.10406599999999999,1.049564,1.049564,3,-0.2141240000000001,1,0.07306500000000016,1.122629,1.122629,3,-0.69046,1,0.0,1.122629,1.122629,3,-0.69046,1,0.0
501,200,False,0.0710659999999999,0.0710659999999999,3,0.002745,0,1.132632,1.203698,1.203698,2,0.154134,0,0.0,1.122629,1.122629,3,-0.04481199999999985,1,0.08106899999999984,0.894043,1.203698,3,-0.3096549999999999,1,0.3096549999999999,1.203698,1.203698,2,0.154134,0,0.0
1033,200,False,-0.008064,0.970412,3,-0.9447350000000001,2,1.211762,1.203698,1.203698,3,0.060050999999999966,0,0.0,1.203698,1.203698,3,0.060050999999999966,0,0.0,1.203698,1.203698,3,0.060050999999999966,0,0.0,1.203698,1.203698,3,0.060050999999999966,0,0.0
1537,12,False,-0.006837,0.00947,3,-0.014533999999999998,2,1.129466,1.071641,1.071641,3,0.05754499999999996,0,0.05098800000000003,1.112267,1.122629,3,-0.010362000000000204,1,0.010362000000000204,1.112267,1.122629,3,-0.010362000000000204,1,0.010362000000000204,1.122629,1.122629,2,0.5368750000000001,0,0.0
1638,18,False,0.058815,0.058815,3,-0.0018259999999999995,1,1.028344,1.087159,1.087159,2,0.437763,0,0.0,1.075843,1.087159,3,-0.011315999999999882,1,0.011315999999999882,1.075843,1.087159,3,-0.011315999999999882,1,0.011315999999999882,1.087159,1.087159,2,0.437763,0,0.0
1674,385,False,-0.004123,0.978658,3,-0.955999,2,1.156379,1.152256,1.152256,3,0.06774900000000006,0,0.0,1.152256,1.152256,3,0.06774900000000006,0,0.0,1.152256,1.152256,3,0.06774900000000006,0,0.0,1.152256,1.152256,3,0.06774900000000006,0,0.0
1931,17,False,-0.0070379999999999,-0.00536,3,-0.0013119999999999998,2,1.08333,1.076292,1.076292,2,0.38235699999999995,0,0.0,1.027244,1.076292,3,-0.04904799999999998,1,0.04904799999999998,1.027244,1.076292,3,-0.04904799999999998,1,0.04904799999999998,1.076292,1.076292,2,0.135774,0,0.0
1980,24,False,-0.002005,0.285855,3,-0.30070800000000003,1,1.0344630000000001,1.032458,1.032458,2,0.272272,0,0.0,0.969495,1.032458,3,-0.0629630000000001,1,0.0629630000000001,0.969495,1.032458,3,-0.0629630000000001,1,0.0629630000000001,1.032458,1.032458,2,0.245433,0,0.0
2201,23,False,-0.009001,0.415392,3,-0.4281,1,1.042009,1.033008,1.033008,2,0.38876,0,0.0,0.967142,0.992173,3,-0.025031000000000025,1,0.06586599999999998,0.92057,1.033008,3,-0.11243799999999993,1,0.11243799999999993,1.033008,1.033008,2,0.38876,0,0.0
3045,385,False,-9e-06,0.007776,3,-0.012638,1,1.1522649999999999,1.152256,1.152256,3,0.038853999999999944,0,0.0,1.152256,1.152256,3,0.038853999999999944,0,0.0,1.152256,1.152256,3,0.038853999999999944,0,0.0,1.152256,1.152256,3,0.038853999999999944,0,0.0
3439,31,False,-0.004057,0.007112,3,-0.00576,2,1.015132,0.979132,0.979132,3,0.062006,0,0.031942999999999944,1.011075,1.011075,3,0.039688,0,0.0,1.011075,1.011075,3,0.036864,0,0.0,1.011075,1.011075,3,0.036864,0,0.0
3548,15,False,-0.005514,-2.1e-05,3,-0.0056589999999999,2,1.118916,1.113402,1.113402,3,0.009391,0,0.0,1.113402,1.113402,3,0.009391,0,0.0,1.113402,1.113402,3,0.009391,0,0.0,1.113402,1.113402,3,0.009391,0,0.0
3584,16,False,0.003706,0.010781,3,-0.014233,1,1.076438,1.080144,1.080144,3,0.018168,0,0.0,1.080144,1.080144,3,0.018168,0,0.0,1.080144,1.080144,3,0.018168,0,0.0,1.080144,1.080144,3,0.018168,0,0.0
3632,17,False,-0.001717,0.006506,3,-0.013978,2,1.078009,1.076292,1.076292,3,0.016456,0,0.0,1.076292,1.076292,3,0.016456,0,0.0,1.076292,1.076292,3,0.016456,0,0.0,1.076292,1.076292,3,0.016456,0,0.0
3748,28,False,0.102062,0.102062,3,-0.0029630000000000004,2,0.9120340000000001,1.014096,1.014096,3,0.030559000000000114,0,0.0,1.014096,1.014096,3,0.030559000000000114,0,0.0,1.014096,1.014096,3,0.104268,0,0.0,1.014096,1.014096,3,0.104268,0,0.0
3782,24,False,-0.017123,-0.00562,3,-0.011503,1,1.049581,1.032458,1.032458,3,0.021374999999999998,0,0.0,1.032458,1.032458,3,0.021374999999999998,0,0.0,1.032458,1.032458,3,0.021374999999999998,0,0.0,1.032458,1.032458,3,0.021374999999999998,0,0.0
3818,12,False,0.004987,0.01528,3,-0.025483,1,1.117642,1.046407,1.046407,3,0.006829000000000196,0,0.07622200000000001,1.122629,1.122629,3,0.10758900000000016,0,0.0,1.122629,1.122629,3,0.1244320000000001,0,0.0,1.122629,1.122629,3,0.1244320000000001,0,0.0
4179,18,False,0.002457,0.035066,3,-0.032222,2,1.084702,1.087159,1.087159,3,0.131648,0,0.0,1.087159,1.087159,3,0.131648,0,0.0,1.087159,1.087159,3,0.131648,0,0.0,1.087159,1.087159,3,0.131648,0,0.0
